,NAME,DATE,PRCP,TAVG,TMAX,TMIN
90,Kurunegala Proper,2019-04-18,0.11,83.0,82.25931,73.0
91,Kurunegala Proper,2019-04-21,0.11,87.0,94.0,74.0
92,Kurunegala Proper,2019-04-22,1.51,85.0,82.25931,68.77463
93,Kurunegala Proper,2019-04-24,0.0,87.0,95.0,74.0
94,Kurunegala Proper,2019-04-25,0.0,83.0,82.25931,68.77463
95,Kurunegala Proper,2019-04-28,0.0,87.0,94.0,78.0
96,Kurunegala Proper,2019-04-29,0.12,85.0,90.0,68.77463
97,Kurunegala Proper,2019-04-30,0.0,80.0,89.0,68.77463
98,Kurunegala Proper,2019-05-01,0.11,85.0,82.25931,74.0
99,Kurunegala Proper,2019-05-02,0.0,84.0,82.25931,78.0
100,Kurunegala Proper,2019-05-03,0.0,85.0,90.0,68.77463
101,Kurunegala Proper,2019-05-05,0.0,85.0,82.25931,78.0
102,Kurunegala Proper,2019-05-06,0.0,85.0,94.0,76.0
103,Kurunegala Proper,2019-05-07,0.0,86.0,92.0,76.0
104,Kurunegala Proper,2019-05-08,0.0,86.0,93.0,78.0
105,Kurunegala Proper,2019-05-09,0.0,86.0,92.0,77.0
106,Kurunegala Proper,2019-05-10,0.0,89.0,94.0,78.0
107,Kurunegala Proper,2019-05-12,0.0,87.0,95.0,78.0
108,Kurunegala Proper,2019-05-13,0.0,88.0,82.25931,78.0
109,Kurunegala Proper,2019-05-15,0.0,87.0,82.25931,79.0
110,Kurunegala Proper,2019-05-16,0.0,87.0,82.25931,79.0
111,Kurunegala Proper,2019-05-17,0.0,90.0,95.0,78.0
112,Kurunegala Proper,2019-05-18,0.0,90.0,95.0,79.0
113,Kurunegala Proper,2019-05-19,0.0,88.0,96.0,76.0
114,Kurunegala Proper,2019-05-20,0.0,87.0,82.25931,77.0
115,Kurunegala Proper,2019-05-21,0.0,87.0,96.0,77.0
116,Kurunegala Proper,2019-05-23,0.0,87.0,97.0,75.0
117,Kurunegala Proper,2019-05-26,0.0,87.0,82.25931,76.0
118,Kurunegala Proper,2019-05-27,0.0,88.0,97.0,78.0
119,Kurunegala Proper,2019-05-28,0.0,89.0,96.0,79.0
120,Kurunegala Proper,2019-05-29,0.01,88.0,96.0,80.0
121,Kurunegala Proper,2019-05-30,0.0,87.0,82.25931,79.0
122,Kurunegala Proper,2019-06-02,0.0,87.0,82.25931,79.0
123,Kurunegala Proper,2019-06-03,0.0,85.0,94.0,80.0
