,HCHO_reading,Location,Current_Date
102,0.00010087245522254383,Colombo Proper,2019-05-04
103,0.00010087245522254383,Colombo Proper,2019-05-05
104,3.904429319723554e-05,Colombo Proper,2019-05-06
105,0.00011748760394396071,Colombo Proper,2019-05-07
106,0.0001013037943240832,Colombo Proper,2019-05-08
107,9.939428098153852e-05,Colombo Proper,2019-05-09
108,0.00012536415827108134,Colombo Proper,2019-05-10
109,0.0001274753051841466,Colombo Proper,2019-05-11
110,8.802823548435995e-05,Colombo Proper,2019-05-12
111,2.4982204901168622e-05,Colombo Proper,2019-05-13
112,0.00018104380224156247,Colombo Proper,2019-05-14
113,0.00013942917244611674,Colombo Proper,2019-05-15
114,0.00011713672290272948,Colombo Proper,2019-05-16
115,0.0001095084478863608,Colombo Proper,2019-05-17
116,9.525618991159471e-05,Colombo Proper,2019-05-18
117,8.700221402162398e-05,Colombo Proper,2019-05-19
118,0.00021712476841732458,Colombo Proper,2019-05-23
119,0.00021712476841732458,Colombo Proper,2019-05-24
120,0.00018978350675731903,Colombo Proper,2019-05-25
121,0.00011078022387005001,Colombo Proper,2019-05-26
122,0.00013688992504868347,Colombo Proper,2019-05-27
123,0.00016599673795501176,Colombo Proper,2019-05-28
124,-2.056808215846379e-05,Colombo Proper,2019-05-29
125,0.00021793239461453438,Colombo Proper,2019-05-30
126,9.379307690791867e-05,Colombo Proper,2019-05-31
127,7.067572073902713e-05,Colombo Proper,2019-06-01
128,0.0001658041001064703,Colombo Proper,2019-06-02
129,0.0001609821398171031,Colombo Proper,2019-06-03
130,8.42250633206326e-05,Colombo Proper,2019-06-04
131,8.42250633206326e-05,Colombo Proper,2019-06-05
132,8.42250633206326e-05,Colombo Proper,2019-06-06
133,8.42250633206326e-05,Colombo Proper,2019-06-07
134,0.00012217992950528563,Colombo Proper,2019-06-08
135,0.000184304139111191,Colombo Proper,2019-06-09
136,0.000184304139111191,Colombo Proper,2019-06-10
137,8.17687223806277e-05,Colombo Proper,2019-06-11
138,0.00018806142907124013,Colombo Proper,2019-06-12
139,2.3285886143280304e-05,Colombo Proper,2019-06-13
140,8.209911205126233e-05,Colombo Proper,2019-06-14
141,0.00016365620899872765,Colombo Proper,2019-06-15
142,0.00016365620899872765,Colombo Proper,2019-06-16
143,0.00015344559889285574,Colombo Proper,2019-06-17
144,0.00015833081357305082,Colombo Proper,2019-06-18
145,0.00014507583946095476,Colombo Proper,2019-06-19
146,0.00014507583946095476,Colombo Proper,2019-06-20
147,0.00014507583946095476,Colombo Proper,2019-06-21
148,0.00014034976273987233,Colombo Proper,2019-06-22
149,1.9792269443138506e-05,Colombo Proper,2019-06-23
150,0.00028857390861958265,Colombo Proper,2019-06-24
151,0.00016989584102356363,Colombo Proper,2019-06-25
152,-1.718882776913233e-05,Colombo Proper,2019-06-26
153,0.00012421568637187557,Colombo Proper,2019-06-27
154,8.171133330754701e-05,Colombo Proper,2019-06-28
155,7.340520263976472e-05,Colombo Proper,2019-06-29
156,2.0964513707570187e-05,Colombo Proper,2019-06-30
157,8.969739342465703e-05,Colombo Proper,2019-07-01
158,8.080856806689084e-05,Colombo Proper,2019-07-02
159,2.889810298407616e-05,Colombo Proper,2019-07-03
160,8.317285235618187e-05,Colombo Proper,2019-07-04
161,9.391269191043181e-05,Colombo Proper,2019-07-05
162,9.547040684925105e-06,Colombo Proper,2019-07-06
163,9.452725531817138e-07,Colombo Proper,2019-07-07
164,0.00016067791404394556,Colombo Proper,2019-07-08
165,0.00016067791404394556,Colombo Proper,2019-07-09
166,5.047959159020286e-05,Colombo Proper,2019-07-10
167,6.685329661024943e-05,Colombo Proper,2019-07-11
168,0.00013527543386044277,Colombo Proper,2019-07-12
169,0.00013527543386044277,Colombo Proper,2019-07-13
170,0.00013527543386044277,Colombo Proper,2019-07-14
171,0.00013527543386044277,Colombo Proper,2019-07-15
172,9.32507996651824e-05,Colombo Proper,2019-07-16
173,9.32507996651824e-05,Colombo Proper,2019-07-17
174,9.32507996651824e-05,Colombo Proper,2019-07-18
175,9.32507996651824e-05,Colombo Proper,2019-07-19
176,9.77121531808704e-05,Colombo Proper,2019-07-20
177,0.0001328017366567373,Colombo Proper,2019-07-21
178,0.0001328017366567373,Colombo Proper,2019-07-22
179,-1.0360142278733146e-05,Colombo Proper,2019-07-23
180,5.2038730145742104e-05,Colombo Proper,2019-07-24
181,0.0001644546205319502,Colombo Proper,2019-07-25
182,0.00017076070013081676,Colombo Proper,2019-07-26
183,0.00011850446739276426,Colombo Proper,2019-07-27
184,0.0001041769215942744,Colombo Proper,2019-07-28
185,0.00017543620611897367,Colombo Proper,2019-07-29
186,4.6955253049504447e-05,Colombo Proper,2019-07-30
187,9.259486707748455e-05,Colombo Proper,2019-07-31
188,4.458029389653336e-05,Colombo Proper,2019-08-01
189,4.458029389653336e-05,Colombo Proper,2019-08-02
190,6.93505158442184e-05,Colombo Proper,2019-08-03
191,-2.3506301657737135e-05,Colombo Proper,2019-08-04
192,4.3963264866636625e-06,Colombo Proper,2019-08-05
193,5.951792946298224e-05,Colombo Proper,2019-08-06
194,0.0002358972517484437,Colombo Proper,2019-08-07
195,0.0002358972517484437,Colombo Proper,2019-08-08
196,-3.7531327535029105e-05,Colombo Proper,2019-08-09
197,-3.7531327535029105e-05,Colombo Proper,2019-08-10
198,0.00016218292327949477,Colombo Proper,2019-08-11
199,0.00016218292327949477,Colombo Proper,2019-08-12
200,0.00016218292327949477,Colombo Proper,2019-08-13
201,5.860973694382833e-05,Colombo Proper,2019-08-14
202,0.00013505861338097142,Colombo Proper,2019-08-15
203,0.00013505861338097142,Colombo Proper,2019-08-16
204,0.00016857315495144576,Colombo Proper,2019-08-17
205,3.706723761402327e-05,Colombo Proper,2019-08-18
206,8.584961620742005e-05,Colombo Proper,2019-08-19
207,8.793838791530453e-05,Colombo Proper,2019-08-20
208,8.479952216441172e-05,Colombo Proper,2019-08-21
209,8.479952216441172e-05,Colombo Proper,2019-08-22
210,8.479952216441172e-05,Colombo Proper,2019-08-23
211,0.00015123070726030075,Colombo Proper,2019-08-24
212,2.8320877798642062e-05,Colombo Proper,2019-08-25
213,2.8320877798642062e-05,Colombo Proper,2019-08-26
214,2.8320877798642062e-05,Colombo Proper,2019-08-27
215,0.00018937345885206014,Colombo Proper,2019-08-28
216,4.148157993699298e-05,Colombo Proper,2019-08-31
217,1.1819308958476046e-05,Colombo Proper,2019-09-01
218,0.00012548695447923297,Colombo Proper,2019-09-02
219,2.2278653994414338e-05,Colombo Proper,2019-09-03
220,6.601078846206005e-05,Colombo Proper,2019-09-04
221,6.189868745003109e-05,Colombo Proper,2019-09-05
222,6.96768756388925e-06,Colombo Proper,2019-09-06
223,0.000142528222764163,Colombo Proper,2019-09-07
224,0.00010519816768094976,Colombo Proper,2019-09-08
